algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (burst-matched),constant,1500000,1500000,0,1.0000,11981351.65,72.46,42.00,84.00,125.00,292.00,211375.00,55382409,27691,0.2215,1.0000,0
Custom (burst-matched),burst,50000,21428,28572,0.4286,14441602.06,72.72,42.00,84.00,125.00,209.00,83667.00,2959752,1479,0.1167,1.0000,0
Custom (burst-matched),periodic_burst,750000,746428,3572,0.9952,11751763.33,82.66,42.00,84.00,125.00,292.00,189875.00,29230996,14615,0.1905,1.0000,0
Custom (burst-matched),random,1501399,1501399,0,1.0000,10561999.78,84.85,42.00,84.00,125.00,292.00,236834.00,56361819,28180,0.2127,1.0000,0
Custom (burst-matched),spike,195001,195001,0,1.0000,10442694.83,110.74,42.00,84.00,125.00,250.00,3636041.00,1126240,563,0.1428,1.0000,0
Custom (burst-matched),multi_client,1506750,1506750,0,1.0000,3971985.77,190.50,166.00,209.00,291.00,458.00,28584.00,1147894,573,0.2805,0.9614,0
Custom (burst-matched),adversarial,1500000,722673,777327,0.4818,12913077.70,64.94,42.00,125.00,125.00,250.00,29458.00,990028,495,0.2206,1.0000,0
Custom (burst-matched),idle_then_burst,28001,28001,0,1.0000,13302484.84,81.36,42.00,84.00,125.00,209.00,1737292.00,1048656,524,0.1186,1.0000,0
Custom (burst-matched),chronic_edge_rider,1469650,1469650,0,1.0000,12129977.18,74.64,42.00,84.00,125.00,292.00,945542.00,1048761,524,0.2311,1.0000,0
Custom (burst-matched),repeated_burst_abuser,2250000,1525713,724287,0.6781,14179899.70,82.59,42.00,84.00,125.00,209.00,29958.00,1048790,524,0.2292,1.0000,0
