algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (proportional),constant,1500000,1500000,0,1.0000,12071873.01,77.64,42.00,84.00,125.00,292.00,117500.00,55377756,27688,0.2283,1.0000,0
Custom (proportional),burst,50000,16666,33334,0.3333,12711007.39,91.84,42.00,125.00,166.00,292.00,121459.00,2923420,1461,0.1201,1.0000,0
Custom (proportional),periodic_burst,750000,741666,8334,0.9889,13393294.21,94.61,42.00,84.00,125.00,292.00,1649333.00,29258140,14629,0.1991,1.0000,0
Custom (proportional),random,1501399,1501399,0,1.0000,11452341.33,91.69,42.00,84.00,125.00,250.00,29958.00,56367480,28183,0.2400,1.0000,0
Custom (proportional),spike,195001,195001,0,1.0000,8939784.44,88.27,42.00,84.00,125.00,250.00,218750.00,914433,457,0.1377,1.0000,0
Custom (proportional),multi_client,1506750,1506750,0,1.0000,3597810.39,357.25,166.00,209.00,291.00,417.00,44120333.00,1164792,582,0.2804,0.9614,0
Custom (proportional),adversarial,1500000,562358,937642,0.3749,14160112.29,95.04,42.00,84.00,125.00,250.00,19958.00,1048737,524,0.2012,1.0000,0
Custom (proportional),idle_then_burst,28001,28001,0,1.0000,14627891.58,69.95,42.00,84.00,125.00,209.00,117666.00,973155,486,0.1169,1.0000,0
Custom (proportional),chronic_edge_rider,1469650,1469650,0,1.0000,10397208.94,101.94,83.00,125.00,125.00,292.00,769209.00,1048819,524,0.2015,1.0000,0
Custom (proportional),repeated_burst_abuser,2250000,1486666,763334,0.6607,13141209.84,72.43,42.00,84.00,125.00,291.00,54084.00,1052172,526,0.2160,1.0000,0
