algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (v2-adaptive),constant,1500000,1500000,0,1.0000,14047013.72,78.06,42.00,84.00,125.00,292.00,51958.00,55438464,27719,0.2343,1.0000,0
Custom (v2-adaptive),burst,50000,21428,28572,0.4286,10726590.73,109.31,83.00,125.00,166.00,292.00,960625.00,2906704,1453,0.1106,1.0000,0
Custom (v2-adaptive),periodic_burst,750000,746428,3572,0.9952,10870287.95,85.14,42.00,84.00,125.00,292.00,148083.00,29275249,14637,0.1719,1.0000,0
Custom (v2-adaptive),random,1501399,1501399,0,1.0000,11990492.92,88.53,42.00,84.00,125.00,291.00,43375.00,56361008,28180,0.2470,1.0000,0
Custom (v2-adaptive),spike,195001,195001,0,1.0000,12284465.07,91.56,42.00,84.00,125.00,250.00,58292.00,950059,475,0.1225,1.0000,0
Custom (v2-adaptive),multi_client,1506750,1506750,0,1.0000,3504689.48,264.69,166.00,209.00,292.00,459.00,7009208.00,1149417,574,0.2668,0.9614,0
Custom (v2-adaptive),adversarial,1500000,792785,707215,0.5285,11470337.03,93.99,42.00,125.00,125.00,250.00,6528667.00,1048723,524,0.1990,1.0000,0
Custom (v2-adaptive),idle_then_burst,28001,28001,0,1.0000,14776237.54,67.99,42.00,84.00,125.00,250.00,24334.00,1048627,524,0.1099,1.0000,0
Custom (v2-adaptive),chronic_edge_rider,1469650,1469650,0,1.0000,11563186.83,72.38,42.00,84.00,125.00,291.00,443084.00,1048732,524,0.2071,1.0000,0
Custom (v2-adaptive),repeated_burst_abuser,2250000,1493908,756092,0.6640,12914827.44,82.32,42.00,125.00,125.00,250.00,1938333.00,1036185,518,0.2201,1.0000,0
