algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Leaky Bucket,constant,1500000,1500000,0,1.0000,21564587.59,39.47,42.00,42.00,83.00,166.00,13000.00,55328529,27664,0.2175,1.0000,0
Leaky Bucket,burst,50000,50000,0,1.0000,26766466.08,37.67,41.00,42.00,84.00,166.00,15834.00,2823667,1411,0.1200,1.0000,0
Leaky Bucket,periodic_burst,750000,750000,0,1.0000,17354490.83,53.03,42.00,42.00,83.00,125.00,411334.00,29338342,14669,0.1884,1.0000,0
Leaky Bucket,random,1501399,1501399,0,1.0000,20319207.58,41.29,42.00,42.00,83.00,125.00,17083.00,56471601,28235,0.2481,1.0000,0
Leaky Bucket,spike,195001,195001,0,1.0000,18300769.40,48.93,42.00,42.00,84.00,125.00,26708.00,904107,452,0.1273,1.0000,0
Leaky Bucket,multi_client,1506750,1506750,0,1.0000,7568623.24,126.74,84.00,125.00,167.00,250.00,1176750.00,1162953,581,0.2738,0.9614,0
Leaky Bucket,adversarial,1500000,750750,749250,0.5005,17838624.30,43.63,42.00,83.00,84.00,208.00,8375.00,992280,496,0.2003,1.0000,0
Leaky Bucket,idle_then_burst,28001,28001,0,1.0000,24335319.46,41.82,42.00,83.00,84.00,125.00,121000.00,1048824,524,0.1101,1.0000,0
Leaky Bucket,chronic_edge_rider,1469650,1469650,0,1.0000,16394547.57,48.23,42.00,42.00,83.00,167.00,81375.00,1040537,520,0.1974,1.0000,0
Leaky Bucket,repeated_burst_abuser,2250000,1520000,730000,0.6756,21571313.80,54.43,42.00,42.00,84.00,166.00,12458.00,1048939,524,0.2312,1.0000,0
