algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Sliding Window Log,constant,1500000,1500000,0,1.0000,14306981.73,52.77,42.00,83.00,84.00,416.00,14125.00,57725425,28862,0.2434,1.0000,0
Sliding Window Log,burst,50000,50000,0,1.0000,24513265.39,41.72,42.00,42.00,83.00,125.00,20833.00,4120081,2060,0.1207,1.0000,0
Sliding Window Log,periodic_burst,750000,750000,0,1.0000,16824118.87,68.87,42.00,83.00,84.00,167.00,4482625.00,30470201,15235,0.2206,1.0000,0
Sliding Window Log,random,1501399,1495397,6002,0.9960,12709448.64,60.22,42.00,83.00,84.00,375.00,397209.00,58890104,29445,0.2329,1.0000,0
Sliding Window Log,spike,195001,195000,1,1.0000,13703610.75,62.83,42.00,83.00,84.00,209.00,94166.00,891652,445,0.1318,1.0000,0
Sliding Window Log,multi_client,1506750,1506750,0,1.0000,4713428.58,1116.34,125.00,167.00,208.00,333.00,224728958.00,1149412,574,0.2698,0.9614,0
Sliding Window Log,adversarial,1500000,750000,750000,0.5000,16901976.03,49.36,42.00,42.00,83.00,125.00,255625.00,950337,475,0.1929,1.0000,0
Sliding Window Log,idle_then_burst,28001,28001,0,1.0000,18836411.89,53.51,42.00,83.00,84.00,167.00,11083.00,1048824,524,0.1105,1.0000,0
Sliding Window Log,chronic_edge_rider,1469650,1469650,0,1.0000,12505951.63,52.13,42.00,83.00,84.00,375.00,33792.00,1048929,524,0.2025,1.0000,0
Sliding Window Log,repeated_burst_abuser,2250000,1250000,1000000,0.5556,9910404.73,59.69,42.00,83.00,84.00,84.00,43625.00,925276,462,0.2080,1.0000,0
