algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Token Bucket,constant,1500000,1500000,0,1.0000,28047927.19,38.88,41.00,42.00,83.00,125.00,5291.00,55308289,27654,0.1961,1.0000,0
Leaky Bucket,constant,1500000,1500000,0,1.0000,21564587.59,39.47,42.00,42.00,83.00,166.00,13000.00,55328529,27664,0.2175,1.0000,0
Fixed Window,constant,1500000,1500000,0,1.0000,19321421.81,40.56,42.00,42.00,83.00,84.00,92458.00,55268324,27634,0.1760,1.0000,0
Sliding Window Log,constant,1500000,1500000,0,1.0000,14306981.73,52.77,42.00,83.00,84.00,416.00,14125.00,57725425,28862,0.2434,1.0000,0
Sliding Window Counter,constant,1500000,1498578,1422,0.9991,22635111.29,37.16,41.00,42.00,83.00,84.00,63250.00,55380268,27690,0.2069,1.0000,0
Custom (proportional),constant,1500000,1500000,0,1.0000,12071873.01,77.64,42.00,84.00,125.00,292.00,117500.00,55377756,27688,0.2283,1.0000,0
Custom (burst-matched),constant,1500000,1500000,0,1.0000,11981351.65,72.46,42.00,84.00,125.00,292.00,211375.00,55382409,27691,0.2215,1.0000,0
Custom (v2-adaptive),constant,1500000,1500000,0,1.0000,14047013.72,78.06,42.00,84.00,125.00,292.00,51958.00,55438464,27719,0.2343,1.0000,0
Token Bucket,burst,50000,50000,0,1.0000,25299514.88,40.54,42.00,42.00,83.00,125.00,60583.00,2896105,1448,0.1088,1.0000,0
Leaky Bucket,burst,50000,50000,0,1.0000,26766466.08,37.67,41.00,42.00,84.00,166.00,15834.00,2823667,1411,0.1200,1.0000,0
Fixed Window,burst,50000,50000,0,1.0000,31747996.67,31.81,41.00,42.00,83.00,84.00,10292.00,2943732,1471,0.1134,1.0000,0
Sliding Window Log,burst,50000,50000,0,1.0000,24513265.39,41.72,42.00,42.00,83.00,125.00,20833.00,4120081,2060,0.1207,1.0000,0
Sliding Window Counter,burst,50000,50000,0,1.0000,28228559.42,37.13,42.00,42.00,83.00,84.00,20709.00,2924561,1462,0.1130,1.0000,0
Custom (proportional),burst,50000,16666,33334,0.3333,12711007.39,91.84,42.00,125.00,166.00,292.00,121459.00,2923420,1461,0.1201,1.0000,0
Custom (burst-matched),burst,50000,21428,28572,0.4286,14441602.06,72.72,42.00,84.00,125.00,209.00,83667.00,2959752,1479,0.1167,1.0000,0
Custom (v2-adaptive),burst,50000,21428,28572,0.4286,10726590.73,109.31,83.00,125.00,166.00,292.00,960625.00,2906704,1453,0.1106,1.0000,0
Token Bucket,periodic_burst,750000,750000,0,1.0000,17996283.27,66.48,42.00,42.00,84.00,166.00,6606167.00,29182712,14591,0.2004,1.0000,0
Leaky Bucket,periodic_burst,750000,750000,0,1.0000,17354490.83,53.03,42.00,42.00,83.00,125.00,411334.00,29338342,14669,0.1884,1.0000,0
Fixed Window,periodic_burst,750000,750000,0,1.0000,24441236.41,35.89,41.00,42.00,83.00,84.00,23208.00,29258608,14629,0.2190,1.0000,0
Sliding Window Log,periodic_burst,750000,750000,0,1.0000,16824118.87,68.87,42.00,83.00,84.00,167.00,4482625.00,30470201,15235,0.2206,1.0000,0
Sliding Window Counter,periodic_burst,750000,750000,0,1.0000,24545455.75,48.57,41.00,42.00,83.00,84.00,44541.00,29227788,14613,0.2082,1.0000,0
