algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Fixed Window,constant,30000,30000,0,1.0000,29819387.84,33.58,41.00,83.00,83.00,84.00,24167.00,2129088,212908,0.1047,1.0000,0
Fixed Window,burst,1000,1000,0,1.0000,23269785.54,43.03,42.00,83.00,84.00,84.00,12709.00,1086024,108602,0.1037,1.0000,0
Fixed Window,periodic_burst,15000,15000,0,1.0000,29247904.56,34.20,41.00,83.00,84.00,84.00,11375.00,1613408,161340,0.1027,1.0000,0
Fixed Window,random,30095,29630,465,0.9845,28966395.83,34.69,41.00,83.00,84.00,84.00,17792.00,2138600,213860,0.0993,1.0000,0
Fixed Window,spike,3900,3900,0,1.0000,23218927.85,45.63,42.00,83.00,84.00,84.00,46250.00,1190539,119053,0.0942,1.0000,0
Fixed Window,multi_client,57000,57000,0,1.0000,30200085.26,33.12,41.00,83.00,84.00,84.00,8125.00,3158728,315872,0.0986,0.3312,0
Fixed Window,adversarial,30000,30000,0,1.0000,29700501.97,33.68,41.00,83.00,84.00,84.00,11167.00,1048808,104880,0.1019,1.0000,0
Fixed Window,idle_then_burst,1501,1501,0,1.0000,24861703.80,40.24,41.00,83.00,84.00,84.00,11583.00,1048808,104880,0.1010,1.0000,0
Fixed Window,chronic_edge_rider,29337,29234,103,0.9965,30077540.37,33.25,41.00,83.00,84.00,84.00,12833.00,1048808,104880,0.1003,1.0000,0
Fixed Window,repeated_burst_abuser,45000,29000,16000,0.6444,29613111.12,34.19,41.00,83.00,83.00,84.00,12667.00,1048808,104880,0.1008,1.0000,0
