algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Sliding Window Counter,constant,30000,29985,15,0.9995,27375787.59,36.53,42.00,42.00,83.00,84.00,11125.00,2066177,206617,0.1014,1.0000,0
Sliding Window Counter,burst,1000,1000,0,1.0000,22647709.10,44.19,42.00,83.00,83.00,84.00,9667.00,1086032,108603,0.1033,1.0000,0
Sliding Window Counter,periodic_burst,15000,15000,0,1.0000,27390842.04,36.51,42.00,42.00,83.00,84.00,10667.00,1613411,161341,0.0970,1.0000,0
Sliding Window Counter,random,30095,29401,694,0.9769,25310815.73,39.56,42.00,42.00,83.00,84.00,17500.00,2138603,213860,0.0973,1.0000,0
Sliding Window Counter,spike,3900,3899,1,0.9997,25055325.58,39.93,42.00,42.00,83.00,84.00,9041.00,1190547,119054,0.0984,1.0000,0
Sliding Window Counter,multi_client,57000,56985,15,0.9997,27258691.52,36.69,42.00,42.00,83.00,84.00,7833.00,3158803,315880,0.1019,0.3313,0
Sliding Window Counter,adversarial,30000,15000,15000,0.5000,28854536.62,34.79,42.00,42.00,83.00,84.00,26250.00,983793,98379,0.0958,1.0000,0
Sliding Window Counter,idle_then_burst,1501,1500,1,0.9993,22296453.09,44.88,42.00,42.00,83.00,84.00,13125.00,1048808,104880,0.1037,1.0000,0
Sliding Window Counter,chronic_edge_rider,29337,29121,216,0.9926,26518464.96,37.74,42.00,42.00,83.00,84.00,10917.00,1048808,104880,0.1020,1.0000,0
Sliding Window Counter,repeated_burst_abuser,45000,21554,23446,0.4790,30060112.56,33.27,42.00,42.00,83.00,84.00,12167.00,1048803,104880,0.1055,1.0000,0
