algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Token Bucket,constant,30000,30000,0,1.0000,24918466.69,40.16,42.00,83.00,125.00,167.00,36084.00,2129118,212911,0.1084,1.0000,0
Token Bucket,burst,1000,1000,0,1.0000,18199440.17,55.34,42.00,83.00,125.00,167.00,14583.00,1086024,108602,0.1013,1.0000,0
Token Bucket,periodic_burst,15000,15000,0,1.0000,27038482.39,37.65,41.00,83.00,125.00,167.00,15459.00,1613454,161345,0.1041,1.0000,0
Token Bucket,random,30095,30095,0,1.0000,23899462.34,41.95,42.00,83.00,125.00,167.00,14334.00,2138630,213863,0.1043,1.0000,0
Token Bucket,spike,3900,3900,0,1.0000,20930263.47,47.89,42.00,83.00,125.00,167.00,12208.00,1190539,119053,0.1048,1.0000,0
Token Bucket,multi_client,57000,57000,0,1.0000,34351234.36,29.34,41.00,42.00,83.00,166.00,8167.00,3158728,315872,0.1123,0.3312,0
Token Bucket,adversarial,30000,15015,14985,0.5005,28602067.81,35.02,41.00,42.00,83.00,166.00,8542.00,1048865,104886,0.1087,1.0000,0
Token Bucket,idle_then_burst,1501,1501,0,1.0000,19153267.21,52.24,42.00,83.00,125.00,167.00,12833.00,1048808,104880,0.1041,1.0000,0
Token Bucket,chronic_edge_rider,29337,29337,0,1.0000,23551462.35,42.64,42.00,83.00,125.00,167.00,16125.00,1048841,104884,0.1042,1.0000,0
Token Bucket,repeated_burst_abuser,45000,30400,14600,0.6756,29738364.36,33.71,41.00,42.00,83.00,166.00,11916.00,1048808,104880,0.1038,1.0000,0
